Name,hs,dhw,hs_and_dhw,cs,el
B1839,43.057,3.142,46.199000000000005,0.0,7.914
B1852,11.636,1.539,13.174999999999999,0.0,2.512
B2925,46.963,5.787,52.75,0.0,10.53
B1851,16.785,1.039,17.824,0.0,2.536
B1838,22.018,2.205,24.223,0.0,3.302
B1853,20.963,2.477,23.44,0.0,3.809
B1850,16.673,1.033,17.706,0.0,2.505
B1862,19.822,1.218,21.04,0.0,3.204
B1849,24.315,1.471,25.786,0.0,4.204
B2943,23.473,1.493,24.965999999999998,0.0,4.054
B1984,272.366,15.397,287.763,0.0,47.984
B1989,112.964,20.225,133.189,0.0,20.634
B1861,14.22,0.964,15.184000000000001,0.0,2.007
B1987,21.004,1.245,22.249000000000002,0.0,3.466
B1985,0.0,0.0,0.0,0.0,1.046
B1988,22.205,2.374,24.578999999999997,0.0,3.784
B1860,23.244,2.374,25.618,0.0,3.624
B1982,26.2,1.502,27.701999999999998,0.0,4.581
B1979,21.913,2.595,24.508,0.0,4.924
B1848,73.199,7.991,81.19,0.0,14.879
B2923,73.2,7.991,81.191,0.0,14.877
B2924,0.0,18.288,18.288,0.0,3.447
B2921,62.303,6.744,69.047,0.0,12.611
B2922,46.898,5.786,52.684000000000005,0.0,10.512
B3000,14.713,1.156,15.869,0.0,2.5
B2919,62.308,6.745,69.053,0.0,12.617
B1843,15.767,1.183,16.95,0.0,2.936
B2920,46.887,5.786,52.673,0.0,10.509
B1840,19.034,1.264,20.298,0.0,3.47
B1837,30.195,1.746,31.941,0.0,5.664
B1845,22.696,1.505,24.201,0.0,4.362
B1847,19.567,1.231,20.798000000000002,0.0,3.072
B1846,21.21,1.281,22.491,0.0,3.229
B1836,25.919,2.917,28.836,0.0,4.685
B2946,13.057,0.992,14.049,0.0,2.239
B1842,11.672,0.94,12.612,0.0,1.963
B1844,27.121,1.527,28.648,0.0,4.9
B2947,12.818,0.986,13.804,0.0,2.134
B2926,15.291,1.14,16.431,0.0,2.653
B2966,18.231,1.271,19.502000000000002,0.0,3.466
B2962,18.679,1.295,19.973999999999997,0.0,3.578
B2937,12.63,0.965,13.595,0.0,2.069
B2997,17.007,1.23,18.237000000000002,0.0,3.169
B1857,15.282,1.134,16.416,0.0,2.649
B2998,13.258,1.206,14.463999999999999,0.0,3.005
B2969,18.231,1.271,19.502000000000002,0.0,3.466
B2987,17.425,1.247,18.672,0.0,3.261
B2980,18.67,1.295,19.965000000000003,0.0,3.577
B3003,13.558,1.048,14.606,0.0,2.272
B1995,30.168,3.088,33.256,0.0,5.186
B1999,30.499,2.93,33.429,0.0,4.841
B2768,15.961,1.83,17.791,0.0,2.532
B1998,15.798,0.985,16.783,0.0,2.182
B1859,49.281,2.432,51.713,0.0,10.057
B2001,20.413,1.191,21.604,0.0,2.861
B1997,14.779,1.737,16.516,0.0,3.046
B1996,26.036,2.548,28.584000000000003,0.0,4.151
B2000,21.646,1.258,22.904,0.0,3.573
B1992,130.991,1.876,132.86700000000002,0.0,6.577
B1856,14.503,0.993,15.496,0.0,2.24
B2968,17.354,1.257,18.611,0.0,3.133
B2953,16.247,1.266,17.512999999999998,0.0,3.023
B2959,15.29,1.174,16.464,0.0,2.744
B1855,63.294,3.058,66.352,0.0,13.317
B2975,14.08,1.363,15.443,0.0,2.773
B2967,14.396,1.362,15.758000000000001,0.0,2.861
B1835,64.462,2.826,67.288,0.0,12.742
B2988,13.054,1.058,14.112,0.0,2.536
B2990,10.225,1.031,11.256,0.0,2.401
B2010,34.604,3.634,38.238,0.0,6.159
B2009,77.148,9.781,86.929,0.0,16.406
B2011,131.373,3.58,134.953,0.0,25.821
B1950,105.999,3.642,109.64099999999999,0.0,6.428
B1949,107.304,3.286,110.59,0.0,5.589
B1945,78.287,9.008,87.295,0.0,16.766
B1939,157.142,25.528,182.67,0.0,53.961
B1944,35.268,4.933,40.201,0.0,9.632
B3004,107.181,16.776,123.957,0.0,33.314
B3006,97.036,12.844,109.88,0.0,25.448
B1858,19.53,2.245,21.775000000000002,0.0,3.996
B1993,29.557,3.16,32.717,0.0,5.156
B2006,83.012,2.93,85.94200000000001,0.0,4.741
B1834,30.177,1.848,32.025,0.0,5.7
B2008,37.014,3.963,40.977000000000004,0.0,6.888
B2769,68.921,2.951,71.872,0.0,4.842
B1948,71.353,2.764,74.11699999999999,0.0,4.348
B2004,109.352,1.907,111.259,0.0,5.817
B2007,35.222,4.645,39.867000000000004,0.0,8.414
B1947,86.922,2.784,89.706,0.0,4.65
B2976,14.086,1.37,15.456,0.0,2.773
B1822,13.374,1.078,14.452,0.0,2.609
B2999,13.967,1.203,15.17,0.0,2.772
B2989,14.31,1.227,15.537,0.0,2.862
B2991,13.958,1.203,15.161,0.0,2.77
B2992,14.312,1.226,15.538,0.0,2.861
B1827,21.044,1.529,22.573,0.0,4.034
B1818,33.524,3.877,37.401,0.0,6.594
B2972,13.97,1.204,15.174000000000001,0.0,2.773
B2993,13.965,1.203,15.168,0.0,2.772
B1646,20.056,1.81,21.866,0.0,3.68
B1636,144.499,3.116,147.615,0.0,42.892
B1634,35.085,3.95,39.035000000000004,0.0,7.034
B2933,35.289,4.222,39.511,0.0,7.035
B2938,44.817,4.958,49.775,0.0,8.906
B1841,20.755,2.957,23.712,0.0,5.456
B1632,17.842,1.618,19.459999999999997,0.0,4.937
B1854,24.4,1.534,25.933999999999997,0.0,4.825
B1644,21.752,2.156,23.907999999999998,0.0,5.117
B1821,23.421,1.524,24.945,0.0,4.591
B1645,31.75,1.912,33.662,0.0,6.276
B1823,17.515,1.224,18.739,0.0,3.128
B1826,13.533,1.011,14.543999999999999,0.0,2.375
B1648,25.091,1.641,26.732,0.0,4.771
B2942,14.86,1.199,16.059,0.0,2.709
B1647,37.737,2.44,40.177,0.0,8.263
B1820,13.318,0.997,14.315,0.0,2.322
B1649,17.996,1.291,19.287,0.0,3.285
B1825,12.276,0.889,13.165,0.0,2.735
B2983,14.401,1.368,15.769,0.0,2.861
B1650,22.012,1.361,23.373,0.0,3.895
B2944,16.159,1.266,17.424999999999997,0.0,2.973
B1824,15.344,1.228,16.572,0.0,2.803
B2982,14.148,1.454,15.602,0.0,2.774
B2970,14.466,1.456,15.921999999999999,0.0,2.863
B1635,35.931,4.132,40.062999999999995,0.0,7.094
B2935,35.57,4.619,40.189,0.0,7.043
B2932,44.968,5.238,50.206,0.0,8.892
B2931,37.548,4.543,42.091,0.0,7.462
B2930,46.107,5.511,51.618,0.0,9.071
B2929,37.359,4.633,41.992000000000004,0.0,7.419
B2940,40.749,5.251,46.0,0.0,9.464
B2941,52.834,6.419,59.253,0.0,11.945
B2952,28.539,3.856,32.395,0.0,5.93
B2960,14.312,1.227,15.539,0.0,2.862
B2979,13.971,1.204,15.175,0.0,2.773
B2927,42.356,5.411,47.767,0.0,8.784
B2964,14.298,1.226,15.524000000000001,0.0,2.859
B1833,16.847,1.238,18.085,0.0,2.951
B2954,46.059,5.407,51.465999999999994,0.0,9.074
B2965,13.968,1.204,15.172,0.0,2.773
B2951,42.353,5.411,47.764,0.0,8.784
B1830,14.294,1.226,15.52,0.0,2.858
B1652,51.747,6.151,57.897999999999996,0.0,10.435
B1642,37.402,4.551,41.953,0.0,7.936
B2552,15.768,2.256,18.024,0.0,4.172
B2553,11.402,2.252,13.654,0.0,4.079
B1643,38.103,4.022,42.125,0.0,6.984
B2555,15.586,2.252,17.838,0.0,4.087
B2549,38.379,3.972,42.351,0.0,7.027
B1597,81.862,15.53,97.392,0.0,32.805
B1594,33.391,5.413,38.804,0.0,10.782
B1641,40.756,5.251,46.007,0.0,9.464
B2772,52.834,6.419,59.253,0.0,11.945
B2771,56.334,7.01,63.344,0.0,13.367
B2770,40.189,4.85,45.039,0.0,8.586
B1638,38.758,4.66,43.418000000000006,0.0,8.209
B1639,54.731,6.208,60.939,0.0,11.268
B1640,51.123,5.721,56.843999999999994,0.0,10.234
B1629,199.749,13.518,213.267,0.0,37.257
B1653,40.781,5.741,46.522,0.0,11.624
B2544,37.812,4.473,42.285,0.0,7.801
B2546,11.461,2.288,13.749,0.0,4.08
B2545,15.498,2.282,17.78,0.0,4.045
B1631,38.721,4.496,43.217,0.0,8.011
B1614,18.229,2.245,20.474,0.0,4.097
B1624,37.313,1.199,38.512,0.0,3.151
B1622,40.088,0.99,41.078,0.0,2.08
B1600,53.013,1.0,54.013,0.0,2.428
B1656,32.996,1.814,34.81,0.0,5.919
B1608,47.19,0.969,48.159,0.0,2.11
B1623,33.292,1.035,34.327,0.0,2.155
B1621,19.295,1.964,21.259,0.0,3.395
B1654,112.405,15.082,127.487,0.0,30.801
B2550,95.138,3.926,99.06400000000001,0.0,6.282
B1605,49.995,1.09,51.085,0.0,2.596
B1620,48.161,1.043,49.204,0.0,2.441
B1619,41.763,1.05,42.812999999999995,0.0,2.423
B2560,44.578,5.667,50.245000000000005,0.0,10.323
B2565,43.452,5.498,48.949999999999996,0.0,9.927
B2559,42.323,5.155,47.478,0.0,9.461
B2566,33.797,4.831,38.628,0.0,8.805
B2562,44.593,5.692,50.285000000000004,0.0,10.322
B2567,37.108,4.645,41.753,0.0,8.185
B2561,42.327,5.164,47.491,0.0,9.461
B2572,0.0,0.0,0.0,0.0,0.403
B1802,45.529,5.399,50.928000000000004,0.0,9.848
B1593,41.971,4.83,46.800999999999995,0.0,8.731
B1610,35.483,3.772,39.254999999999995,0.0,6.401
B1611,44.968,5.02,49.988,0.0,8.869
B2851,33.188,5.094,38.282000000000004,0.0,8.469
B1485,29.71,5.068,34.778,0.0,7.87
B2852,79.379,9.609,88.988,0.0,17.441
B2854,30.575,4.406,34.981,0.0,6.794
B2856,28.356,4.615,32.971000000000004,0.0,7.079
B2849,78.562,9.974,88.536,0.0,18.185
B1218,41.753,4.91,46.663,0.0,8.61
B2716,0.0,0.0,0.0,0.0,0.662
B1219,57.62,6.101,63.721,0.0,11.603
B1486,74.823,8.6,83.42299999999999,0.0,15.447
B2728,30.924,4.072,34.996,0.0,6.798
B2727,28.388,4.09,32.478,0.0,7.04
B2726,31.862,4.039,35.900999999999996,0.0,6.934
B2725,30.905,4.072,34.977000000000004,0.0,6.794
B2323,75.227,8.507,83.73400000000001,0.0,15.83
B2319,42.625,2.524,45.149,0.0,8.574
B2334,55.558,1.76,57.318,0.0,9.761
B2322,75.205,8.507,83.712,0.0,15.825
B2857,42.844,5.671,48.515,0.0,9.47
B2853,65.662,7.633,73.295,0.0,13.609
B2858,41.344,5.663,47.007000000000005,0.0,9.425
B2797,30.803,4.439,35.242000000000004,0.0,6.906
B2859,69.941,8.638,78.57900000000001,0.0,15.295
B2798,25.534,4.225,29.759,0.0,6.405
B2799,27.904,4.441,32.345,0.0,6.926
B2793,19.451,1.696,21.147000000000002,0.0,2.9
B2794,40.776,4.903,45.679,0.0,7.932
B2800,37.718,5.671,43.389,0.0,9.262
B1484,35.975,4.597,40.572,0.0,7.94
B2557,31.864,4.039,35.903,0.0,6.935
B3318,50.335,6.343,56.678,0.0,11.633
B2743,38.597,4.807,43.404,0.0,8.203
B1575,37.394,4.545,41.939,0.0,7.911
B1490,101.342,10.873,112.215,0.0,21.667
B1573,123.759,13.255,137.014,0.0,27.172
B2750,26.583,1.88,28.462999999999997,0.0,2.688
B1574,43.003,5.396,48.399,0.0,9.468
B1488,87.011,9.444,96.455,0.0,17.674
B2801,36.785,5.686,42.471,0.0,9.393
B1468,88.635,9.125,97.76,0.0,17.031
B3602,179.403,46.199,225.60199999999998,0.0,19.206
B1012,234.685,61.33,296.015,0.0,25.516
B1491,90.689,10.005,100.69399999999999,0.0,19.605
B1494,170.775,18.193,188.96800000000002,0.0,37.569
B1495,42.759,5.053,47.812,0.0,8.87
B1572,41.282,4.844,46.126,0.0,8.556
B3598,35.726,4.742,40.467999999999996,0.0,8.489
