Building,type,Area,Roof,WWR,useful_area,SurfaceIndex
B2629,north,0.0,0,0,0,0
B2629,east,254.23000000000002,0,0.21,200.84,1
B2629,south,218.18,0,0.21,172.36,2
B2629,west,254.23000000000002,0,0.21,200.84,3
B2629,roofs,171.2,1,0.8,136.96,4
B4204,north,223.57999999999998,0,0.21,176.63,5
B4204,east,0.0,0,0,0,6
B4204,south,223.57999999999998,0,0.21,176.63,7
B4204,west,0.0,0,0,0,8
B4204,roofs,126.26,1,0.8,101.00800000000001,9
B2598,north,350.0,0,0.21,276.5,10
B2598,east,219.46,0,0.21,173.37,11
B2598,south,381.77000000000004,0,0.21,301.6,12
B2598,west,121.52,0,0.21,96.0,13
B2598,roofs,225.84,1,0.8,180.67200000000003,14
B2694,north,260.62,0,0.21,205.89,15
B2694,east,246.23000000000002,0,0.21,194.52,16
B2694,south,253.71,0,0.21,200.43,17
B2694,west,244.18,0,0.21,192.9,18
B2694,roofs,194.45,1,0.8,155.56,19
B2100,north,504.09000000000003,0,0.21,398.23,20
B2100,east,129.29,0,0.21,102.14,21
B2100,south,500.33,0,0.21,395.26,22
B2100,west,133.57,0,0.21,105.52,23
B2100,roofs,448.33,1,0.8,358.664,24
B2475,north,401.54,0,0.15,341.31,25
B2475,east,406.09000000000003,0,0.15,345.18,26
B2475,south,401.55,0,0.15,341.32,27
B2475,west,406.33,0,0.15,345.38,28
B2475,roofs,503.43,1,0.8,402.744,29
B2525,north,76.7,0,0.21,60.59,30
B2525,east,0.0,0,0,0,31
B2525,south,0.0,0,0,0,32
B2525,west,37.63,0,0.21,29.73,33
B2525,roofs,320.73,1,0.8,256.584,34
B1182,north,218.34,0,0.21,172.49,35
B1182,east,140.6,0,0.21,111.07,36
B1182,south,218.27,0,0.21,172.43,37
B1182,west,140.56,0,0.21,111.04,38
B1182,roofs,213.12,1,0.8,170.496,39
B1233,north,880.64,0,0.15,748.54,40
B1233,east,256.8,0,0.15,218.28,41
B1233,south,849.4,0,0.15,721.99,42
B1233,west,252.19,0,0.15,214.36,43
B1233,roofs,499.82,1,0.8,399.856,44
B1898,north,941.3800000000001,0,0.21,743.69,45
B1898,east,410.44,0,0.21,324.25,46
B1898,south,757.87,0,0.21,598.72,47
B1898,west,415.65000000000003,0,0.21,328.36,48
B1898,roofs,829.56,1,0.8,663.648,49
B3127,north,270.98,0,0.21,214.07,50
B3127,east,462.05999999999995,0,0.21,365.03,51
B3127,south,0.0,0,0,0,52
B3127,west,224.39000000000001,0,0.21,177.27,53
B3127,roofs,668.45,1,0.8,534.7600000000001,54
B1746,north,97.03,0,0.21,76.65,55
B1746,east,121.02,0,0.21,95.61,56
B1746,south,125.82000000000001,0,0.21,99.4,57
B1746,west,94.50999999999999,0,0.21,74.66,58
B1746,roofs,85.8,1,0.8,68.64,59
B1616,north,136.32999999999998,0,0.16,114.52,60
B1616,east,143.5,0,0.16,120.54,61
B1616,south,139.81,0,0.16,117.44,62
B1616,west,152.15,0,0.16,127.81,63
B1616,roofs,90.61,1,0.8,72.488,64
B3452,north,104.01,0,0.21,82.17,65
B3452,east,434.01,0,0.21,342.87,66
B3452,south,430.08,0,0.21,339.76,67
B3452,west,517.95,0,0.21,409.18,68
B3452,roofs,271.27,1,0.8,217.016,69
B1975,north,373.54,0,0.21,295.1,70
B1975,east,376.28,0,0.21,297.26,71
B1975,south,335.53999999999996,0,0.21,265.08,72
B1975,west,482.36,0,0.21,381.06,73
B1975,roofs,489.97,1,0.8,391.97600000000006,74
B1825,north,84.86,0,0.15,72.13,75
B1825,east,93.28999999999999,0,0.15,79.3,76
B1825,south,73.22,0,0.15,62.24,77
B1825,west,94.11,0,0.15,79.99,78
B1825,roofs,91.06,1,0.8,72.848,79
B3897,north,178.86,0,0.21,141.3,80
B3897,east,158.13,0,0.21,124.92,81
B3897,south,170.97,0,0.21,135.07,82
B3897,west,158.01,0,0.21,124.83,83
B3897,roofs,122.8,1,0.8,98.24000000000001,84
B1128,north,0.0,0,0,0,85
B1128,east,258.33000000000004,0,0.21,204.08,86
B1128,south,148.94,0,0.21,117.66,87
B1128,west,236.87,0,0.21,187.13,88
B1128,roofs,161.74,1,0.8,129.39200000000002,89
B1078,north,0.0,0,0,0,90
B1078,east,100.77,0,0.21,79.61,91
B1078,south,117.87,0,0.21,93.12,92
B1078,west,100.89,0,0.21,79.7,93
B1078,roofs,82.56,1,0.8,66.048,94
B3749,north,0.0,0,0,0,95
B3749,east,64.28,0,0.21,50.78,96
B3749,south,0.0,0,0,0,97
B3749,west,64.28,0,0.21,50.78,98
B3749,roofs,50.91,1,0.8,40.728,99
B1962,north,156.95,0,0.21,123.99,100
B1962,east,252.42,0,0.21,199.41,101
B1962,south,156.95,0,0.21,123.99,102
B1962,west,252.42,0,0.21,199.41,103
B1962,roofs,176.07,1,0.8,140.856,104
B1299,north,761.6800000000001,0,0.21,601.73,105
B1299,east,189.9,0,0.21,150.02,106
B1299,south,761.1600000000001,0,0.21,601.32,107
B1299,west,194.79999999999998,0,0.21,153.89,108
B1299,roofs,332.1,1,0.8,265.68,109
B1832,north,18.330000000000002,0,0.21,14.48,110
B1832,east,74.00999999999999,0,0.21,58.47,111
B1832,south,21.14,0,0.21,16.7,112
B1832,west,73.18,0,0.21,57.81,113
B1832,roofs,161.26,1,0.8,129.008,114
B1195,north,146.34,0,0.21,115.61,115
B1195,east,311.28,0,0.21,245.91,116
B1195,south,206.51,0,0.21,163.14,117
B1195,west,312.35,0,0.21,246.76,118
B1195,roofs,269.44,1,0.8,215.55200000000002,119
B1224,north,253.60999999999999,0,0.15,215.57,120
B1224,east,294.66,0,0.15,250.46,121
B1224,south,253.66000000000003,0,0.15,215.61,122
B1224,west,567.34,0,0.15,482.24,123
B1224,roofs,227.75,1,0.8,182.20000000000002,124
B1374,north,380.66,0,0.21,300.72,125
B1374,east,0.0,0,0,0,126
B1374,south,265.97,0,0.21,210.12,127
B1374,west,168.87,0,0.21,133.41,128
B1374,roofs,191.72,1,0.8,153.376,129
B3130,north,371.57000000000005,0,0.21,293.54,130
B3130,east,0.0,0,0,0,131
B3130,south,371.67,0,0.21,293.62,132
B3130,west,143.63,0,0.21,113.47,133
B3130,roofs,423.71,1,0.8,338.968,134
B1751,north,236.39999999999998,0,0.21,186.76,135
B1751,east,0.0,0,0,0,136
B1751,south,237.51,0,0.21,187.63,137
B1751,west,149.58,0,0.21,118.17,138
B1751,roofs,145.53,1,0.8,116.424,139
B3445,north,0.0,0,0,0,140
B3445,east,675.58,0,0.21,533.71,141
B3445,south,0.0,0,0,0,142
B3445,west,675.61,0,0.21,533.73,143
B3445,roofs,983.69,1,0.8,786.9520000000001,144
B2117,north,169.0,0,0.21,133.51,145
B2117,east,0.0,0,0,0,146
B2117,south,169.1,0,0.21,133.59,147
B2117,west,158.8,0,0.21,125.45,148
B2117,roofs,119.3,1,0.8,95.44,149
B2047,north,755.99,0,0.21,597.23,150
